,gvkey,permno,adate,qdate,datadate,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,cfm,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_at,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,ticker,cusip,splticrm
48,1602,14008,2008/12/31,2009/9/30,2010-01-31,17.114,0.374,10.034,12.909,12.996,13.142,13.142,3.99,9.846,0.0,0.315,0.461,0.388,0.909,0.358,0.18,0.224,0.18,0.201,0.226,0.169,0.226,0.328,0.257,0.345,0.676,0.324,0.356,0.324,0.391,0.056,0.051,0.665,0.121,0.125,1.657,0.09,0.275,0.588,1.416,1.244,0.373,0.905,2.972,0.479,0.29,0.449,0.357,0.816,9.097,9.968,2.415,3.188,3.628,459.907,0.637,0.38,6.78,2.434,0.466,0.69,1.168,0.19,0.005,0.0,-0.034,2.546,0.582,,AMGN,3116210,A+
49,1602,14008,2012/12/31,2013/6/30,2013-08-31,19.017,0.277,13.691,16.969,17.237,18.34,18.34,4.648,15.832,0.275,0.26,0.395,0.34,0.881,0.279,0.131,0.233,0.134,0.133,0.236,0.131,0.236,0.211,0.167,0.291,0.452,0.548,0.576,0.548,0.323,0.044,0.042,0.687,0.09,0.085,3.614,0.049,0.196,0.71,1.053,0.783,0.167,0.867,6.337,1.199,0.471,0.631,0.569,1.707,5.303,5.629,3.501,4.197,4.613,370.319,0.763,0.33,6.781,2.45,0.404,0.893,0.738,0.207,0.0,0.0,-0.011,3.985,2.084,1.73%,AMGN,3116210,A
52,64768,84788,2008/12/31,2009/9/30,2010-01-31,118.577,0.089,23.798,3.484,3.523,3.689,3.689,2.57,24.745,0.0,0.034,0.063,0.047,0.243,0.046,0.186,0.261,0.322,0.277,0.261,0.25,0.261,0.442,0.168,0.659,0.937,0.063,0.2,0.063,0.05,0.178,0.056,0.701,0.248,0.095,0.483,0.197,0.837,0.043,0.337,0.552,0.301,0.85,5.121,0.067,0.083,0.611,0.507,1.569,21.081,27.405,0.837,1.041,1.384,,11.72,2.717,40.338,5.654,6.542,6.98,13.825,0.054,0.022,0.0,-0.196,15.551,0.101,,AMZN,2313510,BBB
53,64768,84788,2009/12/31,2009/12/31,2010-02-28,103.525,0.088,37.226,54.815,55.849,58.039,58.039,2.151,16.008,0.0,0.037,0.066,0.048,0.241,0.047,0.146,0.228,0.263,0.219,0.228,0.292,0.228,0.395,0.131,0.428,0.954,0.046,0.071,0.046,0.052,0.087,0.064,0.744,0.222,0.085,0.243,0.359,0.861,0.029,0.219,0.447,0.385,0.887,6.633,0.048,0.028,0.619,0.533,1.628,27.529,34.794,0.864,1.036,1.33,,10.417,2.215,58.634,4.21,4.449,4.662,10.074,0.051,0.024,0.0,-0.216,10.028,0.796,,AMZN,2313510,A-
54,64768,84788,2010/12/31,2010/12/31,2011-02-28,116.286,0.085,39.75,67.167,68.494,68.494,68.494,2.288,22.392,0.0,0.034,0.06,0.041,0.24,0.044,0.127,0.19,0.21,0.234,0.19,0.216,0.19,0.296,0.103,0.436,0.915,0.085,0.115,0.085,0.05,0.087,0.062,0.734,0.233,0.096,0.419,0.259,0.869,0.054,0.199,0.337,0.293,0.72,4.943,0.093,0.046,0.635,0.565,1.738,30.538,36.077,0.845,1.017,1.325,,9.681,2.098,31.67,3.96,4.557,4.983,10.135,0.051,0.026,0.0,-0.144,11.402,2.187,,AMZN,2313510,A
55,64768,84788,2011/12/31,2012/9/30,2012-11-30,154.438,0.066,38.26,-140.03,-126.03,157.531,157.531,1.994,33.898,0.0,0.001,0.045,0.012,0.27,0.006,0.119,0.005,0.072,0.316,0.005,0.016,0.005,0.106,0.039,0.691,0.955,0.18,0.246,0.154,0.033,0.06,0.044,0.43,0.343,0.156,0.76,0.27,0.824,0.095,0.208,0.275,0.223,0.314,2.995,0.188,0.087,0.664,0.628,1.974,1.471,8.165,0.521,0.733,1.114,,8.947,2.56,26.83,5.151,7.27,7.612,40.883,0.071,0.029,0.0,-0.153,15.116,,,AMZN,2313510,AA-
56,9063,76282,2008/12/31,2009/9/30,2010-01-31,108.37,0.728,11.666,18.182,18.367,13.043,15.789,0.3,6.728,0.0,0.023,0.043,0.035,0.181,0.032,0.077,0.11,0.072,,0.11,0.1,0.11,0.179,0.086,0.345,0.664,0.336,0.759,0.336,0.032,0.087,0.038,0.039,0.666,0.156,5.797,0.557,0.607,0.355,0.228,0.239,0.18,0.87,1.776,0.507,0.471,0.588,0.547,1.427,3.46,3.703,0.065,0.374,1.122,68.264,5.866,1.909,30.622,56.221,3.076,4.634,43.964,0.0,0.012,0.0,-0.04,1.359,,,AN,05329W10,BB+
57,9063,76282,2010/12/31,2011/3/31,2011-07-31,-250.69,0.413,11.632,21.994,22.387,23.36,23.804,0.424,16.332,0.0,0.019,0.046,0.04,0.169,0.031,0.105,0.116,0.104,0.383,0.118,0.104,0.118,0.252,0.124,0.378,0.603,0.397,0.888,0.397,0.025,0.08,0.036,0.024,0.703,0.17,5.04,0.553,0.595,0.362,0.27,0.151,0.065,0.486,2.06,0.649,0.522,0.646,0.61,1.821,3.296,4.84,0.041,0.329,1.109,64.27,6.215,2.239,30.918,59.415,3.806,6.315,53.602,0.0,0.01,0.0,-0.016,2.528,,,AN,05329W10,BBB-
60,1678,39490,2008/12/31,2009/9/30,2010-01-31,18.809,0.58,-10.043,-8.947,-8.947,-8.656,-8.656,4.213,8.935,0.331,-0.484,-0.385,-0.708,-0.343,-0.723,-0.106,-0.198,-0.268,0.236,-0.237,-0.145,-0.235,-0.218,-0.199,-0.099,0.753,0.242,0.244,0.242,0.874,0.065,0.064,0.115,0.135,0.367,-1.637,0.009,0.178,0.414,-1.435,1.76,0.557,-0.268,0.525,0.273,0.182,0.436,0.26,0.772,-11.027,-17.594,0.649,1.613,1.866,70.259,19.856,0.289,5.458,24.47,0.388,0.512,4.311,0.0,0.0,0.0,-0.265,1.855,,0.61%,APA,3741110,A-
61,1678,39490,2014/12/31,2014/12/31,2015-04-30,18.51,1.502,7.134,-33.861,-33.861,-5.377,-4.865,1.875,3.047,,-0.355,0.355,-0.033,0.387,-0.211,0.083,-0.127,-0.011,,-0.165,-0.076,-0.165,-0.009,-0.008,0.095,0.659,0.286,0.286,0.302,0.422,0.048,0.048,0.028,0.11,0.316,2.302,0.0,0.132,0.404,1.333,2.309,0.304,-0.462,0.579,0.317,0.201,0.497,0.324,1.072,-8.675,-0.899,0.21,1.558,1.751,39.49,10.545,0.234,5.526,5.837,0.349,0.53,4.998,0.0,0.0,0.0,-0.227,0.727,,1.46%,APA,3741110,BBB+
62,1678,39490,2015/12/31,2015/12/31,2016-02-29,-3.931,0.216,-1.168,-0.688,-0.688,-0.647,-0.625,2.269,4.853,,-3.501,-3.433,-4.06,-3.374,-4.422,-0.586,-1.144,-1.068,,-1.568,-0.455,-1.568,-0.775,-0.716,-1.143,0.197,0.675,0.675,0.774,1.059,0.05,0.05,0.1,0.152,0.334,-0.401,0.0,0.126,0.601,-11.903,1.621,0.204,-0.735,1.035,2.413,0.466,0.776,0.785,5.695,-43.966,-52.139,0.797,1.728,2.038,90.099,43.692,0.171,3.896,30.395,0.491,2.488,3.34,0.0,0.0,0.0,-0.677,3.981,-0.043,2.61%,APA,3741110,BBB
63,11923,70332,2008/12/31,2009/9/30,2010-01-31,12.841,0.973,8.475,362.249,372.651,70.088,69.326,3.559,9.593,0.423,0.047,0.469,0.012,0.649,0.079,0.084,0.015,0.003,0.4,0.022,0.032,0.022,0.003,0.002,0.117,0.606,0.383,0.403,0.387,0.547,0.069,0.066,0.099,0.049,0.301,3.085,0.049,0.136,0.412,1.032,0.816,0.216,-0.341,0.797,0.416,0.26,0.601,0.445,1.536,1.495,0.124,0.727,1.284,1.351,,11.566,0.18,5.415,1.08,0.278,0.46,5.765,0.0,0.0,0.0,-0.058,1.045,,0.56%,APC,3251110,BBB-
64,11923,70332,2013/12/31,2014/9/30,2014-11-30,-1530.0,0.549,6.691,15.429,15.429,-18.756,-18.756,2.376,4.651,0.345,-0.126,0.542,0.263,0.69,-0.019,0.161,-0.071,0.13,0.553,-0.103,-0.011,-0.103,0.108,0.09,0.2,0.566,0.383,0.386,0.403,0.21,0.106,0.105,0.161,0.028,0.309,1.511,0.009,0.265,0.379,0.953,0.898,0.277,-0.124,0.882,0.471,0.237,0.621,0.465,1.786,-0.46,3.052,0.608,0.95,0.977,,20.008,0.29,5.82,1.417,0.472,0.833,10.581,0.0,0.0,0.0,-0.186,1.422,,1.36%,APC,3251110,BBB
66,14282,84769,2008/12/31,2009/9/30,2010-01-31,23.498,0.252,10.272,5.215,5.27,5.27,5.27,2.425,11.36,0.023,0.117,0.209,0.175,0.348,0.161,0.196,0.23,0.22,0.275,0.23,0.167,0.23,0.451,0.302,0.324,0.638,0.354,0.354,0.357,0.153,0.045,0.045,0.149,0.375,0.373,1.391,0.001,0.332,0.533,1.153,1.179,0.296,0.882,4.45,0.556,0.271,0.507,0.426,1.042,9.859,13.273,0.447,1.549,2.48,101.064,3.87,0.932,5.974,6.476,1.221,1.915,3.733,0.024,0.0,0.0,-0.09,4.201,,0.15%,APH,3209510,BBB-
67,14282,84769,2009/12/31,2010/9/30,2010-12-31,27.905,0.25,11.331,4.998,5.075,5.114,5.114,2.741,22.158,0.023,0.135,0.223,0.193,0.354,0.18,0.225,0.252,0.252,0.267,0.252,0.193,0.252,0.492,0.348,0.337,0.701,0.291,0.295,0.293,0.167,0.05,0.049,0.315,0.293,0.355,1.081,0.016,0.373,0.501,1.26,0.699,0.4,0.784,4.765,0.415,0.229,0.45,0.376,0.828,12.466,16.41,0.843,2.007,2.837,89.823,4.395,0.95,5.615,6.509,1.226,1.748,3.076,0.019,0.0,0.0,0.011,4.295,0.334,0.11%,APH,3209510,BBB
68,14282,84769,2013/12/31,2013/12/31,2014-04-30,29.611,0.203,15.628,23.838,24.324,24.324,24.324,3.246,19.478,0.152,0.138,0.225,0.196,0.344,0.183,0.183,0.24,0.198,0.246,0.24,0.173,0.24,0.418,0.265,0.257,0.663,0.332,0.495,0.334,0.168,0.042,0.033,0.363,0.251,0.317,2.052,0.329,0.49,0.435,0.646,0.478,0.234,0.794,6.175,0.501,0.346,0.533,0.484,1.15,11.002,14.205,0.741,1.469,1.961,104.534,3.967,0.811,4.828,5.898,1.07,1.614,2.982,0.022,0.0,0.0,-0.023,5.239,2.089,0.84%,APH,3209510,BBB+
69,10405,43123,2008/12/31,2009/9/30,2010-01-31,8.753,0.606,11.747,32.421,32.68,37.477,37.477,1.196,7.165,0.502,0.031,0.093,0.055,0.179,0.049,0.074,0.05,0.067,0.339,0.05,0.057,0.05,0.062,0.051,0.142,0.705,0.27,0.276,0.277,0.071,0.061,0.06,0.31,0.396,0.232,2.52,0.021,0.274,0.361,0.535,0.956,0.352,0.18,1.225,0.383,0.187,0.506,0.342,1.06,3.206,3.884,1.134,1.998,3.307,116.275,3.591,0.793,7.476,9.332,1.172,1.662,2.483,0.004,0.0,0.0,-0.107,1.928,,1.76%,ATI,01741R10,BBB-
70,10405,43123,2014/12/31,2014/12/31,2015-03-31,47.829,0.709,20.186,150.05,150.05,-280.67,-267.5,0.776,58.626,,0.0,0.062,0.025,0.127,0.0,0.039,-0.001,0.024,-5.8,-0.001,0.026,-0.001,0.023,0.019,0.081,0.614,0.357,0.361,0.367,0.044,0.076,0.066,0.07,0.593,0.243,5.795,0.012,0.249,0.391,0.275,0.058,0.014,-3.038,1.304,0.563,0.232,0.587,0.445,1.486,0.983,0.928,0.281,1.051,2.586,136.315,2.639,0.627,7.463,7.465,0.998,1.625,2.775,0.004,0.0,0.0,-0.009,1.223,,2.40%,ATI,01741R10,BB+
71,10405,43123,2014/12/31,2015/6/30,2015-10-31,24.938,0.827,16.367,105.0,105.0,122.5,113.077,0.376,8.682,5.885,0.003,0.074,0.031,0.138,0.007,0.048,0.005,0.031,-5.8,0.005,0.029,0.005,0.029,0.024,0.09,0.62,0.351,0.355,0.362,0.049,0.071,0.07,0.068,0.599,0.258,4.863,0.012,0.242,0.403,0.346,0.204,0.014,-0.034,1.269,0.538,0.234,0.573,0.435,1.405,1.126,1.218,0.282,1.079,2.689,146.791,2.52,0.653,6.793,7.176,0.993,1.602,2.787,0.004,0.0,0.0,-0.026,0.588,,4.90%,ATI,01741R10,BB-
72,10405,43123,2015/12/31,2015/12/31,2016-03-31,-83.74,1.757,-307.42,-9.209,-9.209,-4.618,-4.618,0.477,13.511,,-0.102,-0.002,-0.048,0.062,-0.129,-0.001,-0.156,-0.046,,-0.161,-0.059,-0.161,-0.042,-0.035,0.04,0.565,0.404,0.406,0.417,-0.047,0.076,0.075,0.042,0.681,0.214,-168.06,0.003,0.193,0.42,-0.013,0.191,0.037,-0.1,1.214,0.691,0.26,0.618,0.474,1.707,-2.327,-1.571,0.218,0.868,2.72,143.751,2.543,0.603,7.41,7.015,1.008,1.786,3.149,0.004,0.0,0.0,-0.083,0.822,-0.001,1.96%,ATI,01741R10,B+
73,10405,43123,2015/12/31,2016/3/31,2016-05-31,1633.86,1.157,-26.576,-5.074,-5.074,-2.715,-2.715,0.402,23.28,,-0.146,-0.039,-0.096,0.032,-0.188,-0.021,-0.192,-0.082,,-0.202,-0.087,-0.202,-0.074,-0.062,0.018,0.584,0.386,0.398,0.398,-0.086,0.076,0.074,0.052,0.646,0.237,-11.662,0.03,0.216,0.411,-0.169,0.074,0.037,-2.306,1.237,0.628,0.256,0.605,0.461,1.607,-3.283,-2.808,0.24,0.918,2.595,156.419,2.465,0.556,6.933,7.461,0.864,1.478,2.676,0.004,0.0,0.0,-0.089,0.656,,2.58%,ATI,01741R10,B
78,2086,27887,2008/12/31,2009/9/30,2010-01-31,24.27,0.206,10.451,15.692,15.909,16.132,16.132,2.84,13.653,0.277,0.18,0.286,0.236,0.573,0.221,0.228,0.34,0.282,0.178,0.34,0.233,0.34,0.345,0.246,0.444,0.63,0.358,0.38,0.363,0.231,0.033,0.031,0.224,0.342,0.286,1.12,0.058,0.372,0.404,1.027,0.747,0.274,0.617,1.933,0.569,0.248,0.58,0.5,1.409,19.049,23.607,0.603,1.4,2.127,54.819,2.108,0.775,5.903,2.068,1.186,1.883,3.184,0.073,0.0,0.0,-0.022,4.9,0.705,2.01%,BAX,7181310,A+
79,2086,27887,2011/12/31,2012/9/30,2012-12-31,18.551,0.216,9.631,15.986,16.101,16.219,16.219,2.61,11.995,0.319,0.164,0.268,0.218,0.566,0.202,0.203,0.342,0.26,0.197,0.342,0.209,0.342,0.337,0.222,0.417,0.577,0.41,0.463,0.416,0.212,0.023,0.02,0.221,0.322,0.274,1.442,0.114,0.392,0.396,0.789,0.641,0.23,0.647,2.143,0.712,0.285,0.638,0.562,1.798,21.864,27.782,0.563,1.208,1.781,29.971,2.23,0.737,6.028,1.944,1.199,2.079,3.772,0.08,0.0,0.0,-0.04,5.137,1.825,2.70%,BAX,7181310,A
80,2086,27887,2013/12/31,2013/12/31,2014-03-31,19.536,0.23,11.512,16.066,16.243,20.104,20.104,2.608,12.446,0.521,0.132,0.267,0.214,0.564,0.165,0.176,0.257,0.214,0.213,0.261,0.176,0.261,0.29,0.197,0.333,0.509,0.489,0.552,0.49,0.184,0.033,0.03,0.157,0.35,0.291,2.248,0.113,0.34,0.467,0.69,0.541,0.184,0.523,2.219,0.934,0.354,0.672,0.548,2.054,9.942,14.52,0.463,1.101,1.694,185.495,2.11,0.66,5.719,7.86,0.919,1.803,3.724,0.082,0.0,0.0,-0.051,4.574,1.046,2.66%,BAX,7181310,A-
81,2184,85914,2009/2/28,2009/11/30,2010-01-31,12.953,0.309,5.623,12.509,12.77,13.989,13.989,0.32,5.812,0.21,0.023,0.063,0.044,0.266,0.039,0.174,0.226,0.291,0.395,0.227,0.201,0.227,0.53,0.155,0.723,0.754,0.164,0.305,0.179,0.043,0.083,0.045,0.093,0.637,0.196,0.681,0.461,0.807,0.094,0.316,0.274,0.176,0.679,2.863,0.217,0.118,0.678,0.616,2.328,12.914,22.882,0.115,0.37,1.019,15.895,5.634,2.722,24.881,5.868,7.054,9.354,157.451,0.0,0.017,0.0,-0.084,2.771,7.362,1.53%,BBY,8651610,BBB-
82,2184,85914,2012/2/29,2012/4/30,2012-08-31,5.334,0.486,3.234,49.278,49.278,-6.138,-5.28,0.119,1.831,,-0.021,0.065,0.046,0.267,0.02,0.194,-0.203,0.33,0.682,-0.204,0.057,-0.204,0.446,0.167,0.845,0.619,0.278,0.365,0.31,0.025,0.112,0.068,0.142,0.557,0.222,0.671,0.237,0.761,0.145,0.372,0.372,0.283,0.767,3.353,0.448,0.138,0.727,0.669,3.108,-6.888,17.537,0.187,0.516,1.163,23.412,6.394,2.996,21.874,7.215,8.38,13.539,35.163,0.0,0.02,0.0,-0.257,1.642,,3.61%,BBY,8651610,BB+
83,2184,85914,2012/2/29,2012/7/31,2012-11-30,3.948,0.577,3.234,36.417,36.417,-4.536,-3.902,0.087,1.34,,-0.021,0.065,0.046,0.267,0.02,0.194,-0.203,0.33,0.682,-0.204,0.057,-0.204,0.446,0.167,0.845,0.619,0.278,0.365,0.31,0.025,0.112,0.068,0.142,0.557,0.222,0.671,0.237,0.761,0.145,0.372,0.372,0.283,0.767,3.353,0.448,0.138,0.727,0.669,3.108,-6.888,17.537,0.187,0.516,1.163,23.412,6.394,2.996,21.874,7.215,8.38,13.539,35.163,0.0,0.02,0.0,-0.257,1.256,,5.19%,BBY,8651610,BB
84,2184,85914,2015/1/31,2015/4/30,2015-08-31,18.816,0.398,6.338,14.352,14.465,16.114,14.465,0.322,8.015,0.557,0.02,0.052,0.036,0.241,0.032,0.142,0.176,0.232,0.102,0.176,0.145,0.176,0.243,0.107,0.657,0.76,0.24,0.26,0.24,0.037,0.058,0.054,0.368,0.504,0.097,0.77,0.079,0.757,0.149,0.278,0.213,0.189,0.645,4.181,0.316,0.11,0.679,0.596,2.116,10.356,16.678,0.486,0.731,1.475,13.144,5.412,2.725,37.053,5.629,6.452,8.494,11.164,0.0,0.018,0.0,-0.055,2.662,,2.50%,BBY,8651610,BB+
85,2184,85914,2016/1/31,2016/4/30,2016-07-31,18.711,0.426,5.585,12.308,12.399,11.546,11.507,0.275,5.975,0.478,0.025,0.056,0.039,0.248,0.04,0.157,0.215,0.245,0.384,0.215,0.183,0.215,0.273,0.12,0.708,0.778,0.222,0.274,0.222,0.042,0.062,0.05,0.371,0.52,0.106,0.725,0.189,0.768,0.139,0.308,0.255,0.145,0.636,4.013,0.285,0.115,0.672,0.591,2.052,13.45,19.213,0.482,0.693,1.444,15.307,5.538,2.858,36.284,5.974,6.786,8.722,12.457,0.0,0.019,0.0,-0.059,2.45,,4.67%,BBY,8651610,BBB-
86,2111,39642,2009/9/30,2009/9/30,2010-01-31,19.222,0.312,8.747,14.837,15.226,15.319,15.104,2.494,10.401,0.262,0.169,0.294,0.237,0.583,0.229,0.245,0.239,0.258,0.26,0.241,0.217,0.241,0.315,0.243,0.449,0.776,0.224,0.285,0.224,0.235,0.057,0.046,0.468,0.249,0.251,0.898,0.213,0.427,0.358,1.186,0.966,0.413,0.656,1.403,0.288,0.203,0.447,0.295,0.809,18.392,24.306,1.095,1.964,2.615,161.921,2.67,0.832,6.372,11.665,1.08,1.392,2.495,0.057,0.0,0.0,-0.059,3.46,0.807,1.96%,BDX,7588710,AA-
87,2111,39642,2011/9/30,2011/9/30,2011-11-30,14.06,0.31,8.375,12.809,13.105,13.199,13.128,2.025,9.239,0.286,0.162,0.282,0.227,0.577,0.219,0.22,0.245,0.242,0.263,0.246,0.199,0.246,0.297,0.23,0.433,0.66,0.34,0.372,0.34,0.226,0.061,0.055,0.279,0.267,0.263,1.233,0.086,0.325,0.444,1.21,0.941,0.306,0.7,1.745,0.508,0.261,0.537,0.385,1.16,11.372,14.584,0.857,1.878,2.56,153.768,2.77,0.78,6.433,10.822,1.071,1.622,2.752,0.061,0.0,0.0,-0.045,3.244,1.651,2.22%,BDX,7588710,A+
88,2111,39642,2012/9/30,2012/9/30,2012-11-30,12.815,0.272,9.82,14.12,14.385,14.466,13.716,1.959,8.579,0.332,0.144,0.259,0.204,0.568,0.191,0.184,0.244,0.198,0.246,0.248,0.173,0.248,0.247,0.19,0.386,0.524,0.476,0.528,0.476,0.21,0.054,0.049,0.302,0.233,0.235,2.084,0.097,0.274,0.521,1.011,0.89,0.244,0.723,2.187,0.894,0.367,0.636,0.522,1.747,7.565,9.297,1.102,2.063,2.691,159.072,2.677,0.707,6.221,10.141,0.976,1.864,2.305,0.061,0.0,0.0,-0.06,3.588,5.113,2.35%,BDX,7588710,A
89,2111,39642,2014/9/30,2014/9/30,2014-12-31,23.753,0.237,12.015,21.778,22.266,23.232,23.232,3.186,15.413,0.355,0.14,0.254,0.196,0.568,0.18,0.175,0.227,0.183,0.221,0.235,0.15,0.235,0.225,0.173,0.386,0.573,0.427,0.45,0.427,0.207,0.044,0.042,0.371,0.244,0.194,1.848,0.051,0.302,0.509,0.961,0.781,0.236,0.661,2.051,0.727,0.319,0.594,0.464,1.463,8.096,9.904,1.228,2.074,2.743,160.711,2.517,0.687,6.96,10.188,0.958,1.671,2.168,0.065,0.0,0.0,-0.046,5.192,6.228,1.72%,BDX,7588710,BBB+
90,4885,37584,2009/9/30,2009/9/30,2010-01-31,17.164,0.34,18.212,25.458,25.589,25.589,25.589,5.37,35.233,0.217,0.213,0.303,0.286,0.303,0.306,0.137,0.119,0.16,0.298,0.122,0.124,0.122,,,0.135,0.986,0.005,0.016,0.005,0.256,0.082,0.033,2.365,,,0.095,0.653,,0.024,,,0.363,0.93,3.304,0.005,0.013,0.187,0.112,0.232,141.209,188.433,,,,49.269,5.191,0.451,4.307,3.601,0.544,0.551,,0.0,0.028,0.228,0.027,2.878,,0.89%,BEN,35461310,AA-
91,4885,37584,2015/9/30,2016/3/31,2016-07-31,10.057,0.52,9.546,13.065,13.065,13.065,13.065,2.877,13.363,0.231,0.231,0.384,0.371,0.384,0.354,0.17,0.138,0.19,0.305,0.141,0.12,0.141,,,0.171,0.809,0.144,0.147,0.151,0.265,0.024,0.024,2.237,,,0.776,0.021,,0.572,,,0.596,0.952,7.283,0.175,0.133,0.227,0.167,0.312,33.886,52.947,,,,146.102,3.019,0.446,8.529,21.325,0.494,0.611,,0.0,0.0,0.183,0.007,1.752,,1.99%,BEN,35461310,A+
92,12123,67467,2009/1/31,2009/10/31,2010-01-31,22.612,0.431,5.22,13.659,13.859,13.214,13.464,0.507,6.587,0.0,0.038,0.076,0.06,0.403,0.062,0.234,0.226,0.327,0.38,0.226,0.228,0.226,0.323,0.193,1.248,0.999,0.003,0.042,0.003,0.054,1.062,0.071,0.086,0.815,0.0,0.098,0.933,0.786,0.003,0.671,0.68,0.321,0.79,1.357,0.003,0.023,0.445,0.305,0.803,72.859,111.948,0.11,0.329,1.78,61.421,3.635,3.094,,9.227,5.572,5.58,11.331,0.0,0.022,0.0,-0.117,2.66,0.179,,BIG,8930210,BBB-
93,12123,67467,2010/1/31,2010/4/30,2010-06-30,21.367,0.308,5.548,12.155,12.295,11.974,12.064,0.54,6.48,0.0,0.046,0.087,0.072,0.406,0.073,0.27,0.249,0.366,0.377,0.249,0.251,0.249,0.362,0.233,1.216,0.999,0.001,0.002,0.001,0.061,1.9,0.903,0.249,0.723,0.0,0.005,0.525,0.808,0.002,0.753,0.719,0.587,0.808,1.405,0.001,0.001,0.429,0.281,0.752,110.164,170.784,0.308,0.525,1.895,54.39,3.737,2.992,,8.513,5.238,5.241,9.636,0.0,0.02,0.0,-0.115,2.751,0.354,,BIG,8930210,BBB
94,12123,67467,2012/1/31,2012/7/31,2012-11-30,8.949,0.289,6.194,9.778,9.951,10.021,10.021,0.315,5.655,0.0,0.034,0.078,0.059,0.397,0.057,0.24,0.227,0.351,0.394,0.227,0.205,0.227,0.314,0.19,1.205,0.838,0.216,0.075,0.208,0.051,0.015,0.042,0.069,0.823,0.0,0.167,0.019,0.679,0.202,0.618,0.444,0.389,0.513,1.704,0.258,0.039,0.561,0.457,1.28,63.153,107.073,0.102,0.294,1.662,54.358,3.512,3.037,,7.596,5.801,6.926,12.037,0.0,0.019,0.0,-0.067,2.431,0.667,,BIG,8930210,BBB-
95,12123,67467,2015/1/31,2015/7/31,2015-09-30,13.638,0.303,6.89,17.425,17.618,18.083,18.015,0.458,8.542,0.273,0.027,0.07,0.046,0.397,0.044,0.211,0.181,0.274,0.384,0.181,0.161,0.181,0.233,0.144,1.198,0.825,0.175,0.092,0.175,0.048,0.02,0.039,0.061,0.814,0.0,0.225,0.049,0.647,0.158,0.568,0.436,0.376,0.526,1.743,0.213,0.047,0.573,0.434,1.343,45.124,74.829,0.094,0.32,1.725,57.187,3.493,3.016,,7.77,5.828,7.067,11.222,0.0,0.019,0.0,-0.08,3.708,82.826,1.59%,BIG,8930210,BBB
96,24468,76841,2008/12/31,2009/9/30,2010-01-31,34.097,0.469,8.103,17.913,18.034,18.034,18.034,3.42,12.288,0.002,0.202,0.435,0.329,0.942,0.286,0.219,0.138,0.202,0.316,0.146,0.127,0.147,0.433,0.341,0.467,0.847,0.15,0.153,0.15,0.309,0.058,0.056,0.57,0.105,0.274,0.588,0.019,0.32,0.426,2.309,1.477,0.585,0.863,1.592,0.168,0.127,0.292,0.168,0.415,14.961,22.802,1.782,2.818,3.149,258.256,0.932,0.496,6.144,2.11,0.596,0.703,2.469,0.299,0.0,0.0,-0.038,2.155,0.163,,BIIB,09062X10,BBB+
97,24468,76841,2012/12/31,2012/12/31,2013-04-30,48.36,0.207,14.178,37.36,37.682,38.009,38.009,9.421,27.644,0.0,0.25,0.457,0.391,0.931,0.335,0.263,0.199,0.277,0.254,0.206,0.186,0.206,0.619,0.452,0.507,0.91,0.09,0.149,0.09,0.316,0.071,0.056,0.539,0.138,0.294,0.452,0.397,0.523,0.217,1.522,1.134,0.594,0.865,1.817,0.096,0.113,0.313,0.162,0.455,23.295,34.836,1.029,1.688,1.957,242.834,0.985,0.575,6.176,2.57,0.721,0.792,3.476,0.242,0.01,0.0,-0.052,7.239,1.906,,BIIB,09062X10,A-
98,2019,49656,2008/12/31,2009/9/30,2010-01-31,24.002,0.81,41.598,-27.443,-27.443,-19.523,-17.63,4.307,8.902,0.786,-0.177,0.166,0.08,0.833,-0.359,0.006,-0.055,0.013,0.256,-0.067,0.0,-0.052,,,0.059,0.598,0.37,0.479,0.37,-0.09,,,0.424,,,15.665,0.228,,0.088,,,0.014,0.905,109.895,0.619,0.099,0.869,0.852,6.654,,,,,,,180.143,0.038,0.207,0.009,0.184,0.292,,0.0,0.017,0.304,-0.024,1.242,,1.24%,BK,6405810,AA-
99,2019,49656,2010/12/31,2011/9/30,2011-11-30,16.025,1.495,7.129,8.688,8.766,9.009,9.051,1.515,49.368,0.205,0.173,0.531,0.481,0.962,0.25,0.031,0.082,0.131,0.283,0.082,0.002,0.082,,,0.053,0.648,0.335,0.519,0.341,0.229,,,0.427,,,3.222,0.354,,0.069,,,0.019,-0.444,147.893,0.517,0.093,0.88,0.861,7.54,,,,,,,78.267,0.055,0.381,0.003,0.303,0.468,,0.0,0.019,0.36,0.008,0.7,,2.67%,BK,6405810,A+
