,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數)
336,2021-06-07,15069,,164.0,,99.0,,,0,0,0,1,2064710.0,3.0,-23.0,8.0,8.0,-0.0,0.0
337,2021-06-08,14938,,112.0,,50.0,,,0,0,0,1,2064710.0,3.0,-49.0,8.0,8.0,-0.0,0.0
338,2021-06-09,15136,184.0,0.1,173.0,103.0,0.21945431515426048,0.206334763704821,0,1,0,1,2064710.0,3.0,53.0,8.0,8.0,-0.0,-0.0
339,2021-06-10,15196,,274.0,,64.0,,,0,0,0,1,2064710.0,3.0,-112.0,8.0,8.0,0.0,0.0
340,2021-06-11,15376,,301.0,,32.0,,,0,0,0,1,2064710.0,3.0,-32.0,8.0,8.0,0.0,0.0
341,2021-06-15,15343,,450.0,,2.4,,,0,0,0,1,2064710.0,3.0,-29.6,8.0,8.0,0.0,0.0
342,2021-06-16,15399,216.0,397.0,98.0,0.1,0.2532203781801809,0.1148870234336006,0,0,0,0,2064710.0,3.0,-2.3,8.0,8.0,-0.0,0.0
343,2021-06-17,15358,,253.0,,63.0,,,0,0,0,0,2077510.0,3.0,0.0,8.0,8.0,-0.0,32.0
344,2021-06-18,15067,,201.0,,64.0,,,0,0,0,0,2077110.0,3.0,0.0,8.0,8.0,-0.0,-1.0
345,2021-06-21,15130,,47.5,,178.0,,,0,0,0,0,2031510.0,3.0,0.0,8.0,8.0,-0.0,-114.0
346,2021-06-22,15371,,32.0,,99.0,,,0,0,0,0,2063110.0,3.0,-0.0,8.0,8.0,-0.0,79.0
347,2021-06-23,15442,208.0,147.0,116.0,0.1,0.24316284038603653,0.13561004559990497,0,0,0,0,2102670.0,3.0,-0.0,8.0,8.0,0.0,98.9
348,2021-06-24,15527,,231.0,,69.0,,,0,0,0,0,2120270.0,3.0,0.0,8.0,8.0,0.0,44.0
349,2021-06-25,15637,,280.0,,41.0,,,0,0,0,0,2131470.0,3.0,-0.0,8.0,8.0,0.0,28.0
350,2021-06-28,15634,,354.0,,11.0,,,0,0,0,0,2143470.0,3.0,-0.0,8.0,8.0,0.0,30.0
351,2021-06-29,15816,,358.0,,3.5,,,0,0,0,0,2146470.0,3.0,-0.0,8.0,8.0,0.0,7.5
352,2021-06-30,15750,172.0,491.0,108.0,0.2,0.1971447924216979,0.12378859059036845,0,0,0,0,2147790.0,3.0,-0.0,8.0,9.0,0.0,3.3
353,2021-07-01,15753,,134.0,,124.0,,,0,0,0,0,2139240.0,3.0,0.0,8.0,9.0,-0.0,-19.0
354,2021-07-02,16000,,113.0,,110.0,,,0,0,0,0,2145540.0,3.0,-0.0,8.0,9.0,-0.0,14.0
355,2021-07-05,15979,,245.0,,18.5,,,0,0,0,0,2186715.0,3.0,-0.0,8.0,9.0,0.0,91.5
356,2021-07-06,15930,,225.0,,8.3,,,0,0,0,0,2191305.0,3.0,-0.0,8.0,9.0,-0.0,10.2
357,2021-07-07,15927,173.0,100.0,117.0,0.3,0.19608733493038052,0.13261397795869664,0,0,0,0,2194905.0,3.0,-0.0,8.0,9.0,-0.0,8.0
358,2021-07-08,15765,,153.0,,105.0,,,0,0,0,0,2198955.0,3.0,0.0,8.0,9.0,0.0,9.0
359,2021-07-09,15930,,65.0,,173.0,,,0,0,0,0,2168355.0,3.0,0.0,8.0,9.0,-0.0,-68.0
360,2021-07-12,15973,,106.0,,70.0,,,0,0,0,0,2214705.0,3.0,-0.0,8.0,9.0,0.0,103.0
361,2021-07-13,15975,,103.0,,34.5,,,0,0,0,0,2230680.0,3.0,-0.0,8.0,9.0,-0.0,35.5
362,2021-07-14,16125,165.0,0.2,141.0,4.3,0.18472328440810795,0.15785444303965587,0,0,0,0,2244270.0,3.0,-0.0,8.0,9.0,-0.0,30.2
363,2021-07-15,16028,,244.0,,72.0,,,0,0,0,0,2273970.0,3.0,0.0,8.0,9.0,0.0,66.0
364,2021-07-16,15897,,145.0,,70.0,,,0,0,0,0,2274870.0,3.0,-0.0,8.0,9.0,-0.0,2.0
365,2021-07-19,15662,,68.0,,124.0,,,0,0,0,0,2250570.0,3.0,0.0,8.0,9.0,-0.0,-54.0
366,2021-07-20,15601,,4.2,,295.0,,,0,0,0,0,2173620.0,3.0,0.0,8.0,9.0,-0.0,-171.0
367,2021-07-21,15732,288.0,0.4,118.0,420.0,0.3304806003556747,0.13540524597906117,1,0,1,0,2117370.0,3.0,0.0,8.0,8.0,-0.0,-125.0
368,2021-07-22,15732,,319.0,,47.0,,,0,0,1,0,2155770.0,3.0,-0.0,8.0,8.0,28.0,68.0
369,2021-07-23,15529,,313.0,,37.5,,,0,0,1,0,2157170.0,3.0,-0.0,8.0,8.0,-6.0,9.5
370,2021-07-26,15494,,153.0,,55.0,,,0,0,1,0,2086170.0,3.0,0.0,8.0,8.0,-160.0,-17.5
371,2021-07-27,15291,,85.0,,53.0,,,0,0,1,0,2059770.0,3.0,-0.0,8.0,8.0,-68.0,2.0
372,2021-07-28,15653,269.0,0.3,153.0,178.0,0.31023594529491655,0.17645390197071462,1,1,1,1,1975890.0,3.0,0.0,8.0,8.0,-84.7,-125.0
373,2021-07-29,15500,,485.0,,30.0,,,0,0,1,1,2061090.0,3.0,-126.0,8.0,8.0,213.0,0.0
374,2021-07-30,15793,,358.0,,55.0,,,0,0,1,1,2010290.0,3.0,25.0,8.0,8.0,-127.0,-0.0
375,2021-08-02,15808,,575.0,,5.9,,,0,0,1,1,2097090.0,3.0,-49.1,8.0,8.0,217.0,0.0
376,2021-08-03,15897,,600.0,,1.8,,,0,0,1,1,2107090.0,3.0,-4.1,8.0,8.0,25.0,0.0
377,2021-08-04,15870,174.0,655.0,108.0,655.0,0.19792914216954,0.12285257100178343,0,0,0,0,2129090.0,3.0,653.2,8.0,9.0,55.0,-0.0
378,2021-08-05,15765,,147.0,,104.0,,,0,0,0,0,2129540.0,3.0,-0.0,8.0,9.0,-0.0,1.0
379,2021-08-06,15732,,82.0,,143.0,,,0,0,0,0,2111990.0,3.0,0.0,8.0,9.0,-0.0,-39.0
380,2021-08-09,15621,,41.5,,139.0,,,0,0,0,0,2113790.0,3.0,-0.0,8.0,9.0,-0.0,4.0
381,2021-08-10,15496,,3.0,,217.0,,,0,0,0,0,2078690.0,3.0,0.0,8.0,9.0,-0.0,-78.0
382,2021-08-11,15484,169.0,0.1,146.0,379.0,0.19703390417582378,0.170218639110475,0,1,0,1,2005790.0,3.0,0.0,8.0,9.0,-0.0,-162.0
383,2021-08-12,15262,,143.0,,133.0,,,0,0,0,1,2005790.0,3.0,-16.0,8.0,9.0,0.0,0.0
384,2021-08-13,15100,,39.0,,255.0,,,0,0,0,1,2005790.0,3.0,122.0,8.0,9.0,-0.0,-0.0
385,2021-08-16,14904,,7.0,,388.0,,,0,0,0,1,2005790.0,3.0,133.0,8.0,9.0,-0.0,-0.0
386,2021-08-17,15137,,1.4,,575.0,,,0,0,0,1,2005790.0,3.0,187.0,8.0,9.0,-0.0,-0.0
387,2021-08-18,14764,194.0,0.1,123.0,362.0,0.23721115836624043,0.15039676535591534,0,0,0,0,2005790.0,3.0,-213.0,8.0,8.0,-0.0,0.0
388,2021-08-19,14624,,47.5,,351.0,,,0,0,0,0,1913390.0,3.0,-0.0,8.0,8.0,0.0,-231.0
