,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數)
462,2021-11-24,17642.52,137.0,0.1,95.0,100.0,0.14018365192935794,0.09720764184882486,0,0,0,0,1401005.0,5.0,-0.0
463,2021-11-25,17654.19,,122.0,,82.0,,,0,0,0,0,1401005.0,5.0,0.0
464,2021-11-26,17369.39,,13.0,,308.0,,,0,0,0,0,1401005.0,5.0,-0.0
465,2021-11-29,17328.09,,5.6,,330.0,,,0,0,0,0,1401005.0,5.0,-0.0
466,2021-11-30,17427.76,,2.0,,300.0,,,0,0,0,0,1401005.0,5.0,-0.0
467,2021-12-01,17585.99,174.0,0.3,125.0,35.0,0.17861578940000528,0.12831594066092333,0,0,0,0,1401005.0,5.0,-0.0
468,2021-12-02,17724.88,,245.0,,78.0,,,0,0,0,0,1401005.0,5.0,0.0
469,2021-12-03,17697.14,,232.0,,64.0,,,0,0,0,0,1401005.0,5.0,-0.0
470,2021-12-06,17688.21,,200.0,,40.0,,,0,0,0,0,1401005.0,5.0,-0.0
471,2021-12-07,17796.92,,274.0,,5.3,,,0,0,0,0,1401005.0,5.0,0.0
472,2021-12-08,17832.42,137.0,331.0,134.0,0.3,0.13869081609993128,0.13565379092985977,0,0,0,0,1401005.0,5.0,0.0
473,2021-12-09,17914.12,,145.0,,85.0,,,0,0,0,0,1401005.0,5.0,-0.0
474,2021-12-10,17826.26,,85.0,,117.0,,,0,0,0,0,1401005.0,5.0,-0.0
475,2021-12-13,17767.6,,30.5,,127.0,,,0,0,0,0,1401005.0,5.0,-0.0
476,2021-12-14,17599.37,,2.7,,253.0,,,0,0,0,0,1401005.0,5.0,-0.0
477,2021-12-15,17660.1,178.0,0.1,99.0,221.0,0.18195511335769982,0.10119975405849596,0,0,0,0,1401005.0,5.0,-0.0
478,2021-12-16,17785.74,,302.0,,23.5,,,0,0,0,0,1401005.0,5.0,0.0
479,2021-12-17,17812.59,,286.0,,30.0,,,0,0,0,0,1401005.0,5.0,-0.0
480,2021-12-20,17669.11,,128.0,,70.0,,,0,0,0,0,1401005.0,5.0,-0.0
481,2021-12-21,17789.27,,270.0,,4.2,,,0,0,0,0,1401005.0,5.0,0.0
482,2021-12-22,17826.83,140.0,266.0,84.0,0.1,0.14177228319448956,0.08506336991669373,0,0,0,0,1401005.0,5.0,-0.0
483,2021-12-23,17946.66,,212.0,,39.5,,,0,0,0,0,1401005.0,5.0,-0.0
484,2021-12-24,17961.64,,198.0,,24.0,,,0,0,0,0,1401005.0,5.0,-0.0
485,2021-12-27,18048.94,,290.0,,6.2,,,0,0,0,0,1401005.0,5.0,0.0
486,2021-12-28,18196.81,,415.0,,1.3,,,0,0,0,0,1401005.0,5.0,0.0
487,2021-12-29,18248.28,137.0,470.0,95.0,0.1,0.1355301914940332,0.09398078972213983,0,0,0,0,1401005.0,5.0,0.0
488,2021-12-30,18218.84,,86.0,,103.0,,,0,0,0,0,1401005.0,5.0,-0.0
489,2022-01-03,18270.51,,82.0,,44.5,,,0,0,0,0,1401005.0,5.0,-0.0
490,2022-01-04,18526.35,,280.0,,2.8,,,0,0,0,0,1401005.0,5.0,0.0
491,2022-01-05,18499.96,146.0,216.0,104.0,0.1,0.1424687084721586,0.10148455945961982,0,0,0,0,1401005.0,5.0,-0.0
492,2022-01-06,18367.92,,72.0,,173.0,,,0,0,0,0,1401005.0,5.0,-0.0
493,2022-01-07,18169.76,,20.0,,312.0,,,0,0,0,0,1401005.0,5.0,-0.0
494,2022-01-10,18239.38,,16.5,,198.0,,,0,0,0,0,1401005.0,5.0,-0.0
495,2022-01-11,18288.21,,7.0,,163.0,,,0,0,0,0,1401005.0,5.0,-0.0
496,2022-01-12,18375.4,153.0,0.3,127.0,133.0,0.15031144505956853,0.12476832367689678,0,0,0,0,1401005.0,5.0,-0.0
497,2022-01-13,18436.93,,171.0,,96.0,,,0,0,0,0,1401005.0,5.0,0.0
498,2022-01-14,18403.33,,108.0,,96.0,,,0,0,0,0,1401005.0,5.0,-0.0
499,2022-01-17,18525.44,,185.0,,25.5,,,0,0,0,0,1401005.0,5.0,0.0
500,2022-01-18,18378.64,,56.0,,58.0,,,0,0,0,0,1401005.0,5.0,-0.0
501,2022-01-19,18227.46,217.0,0.1,144.0,132.0,0.21491711441918046,0.14261780864682944,0,0,0,0,1401005.0,5.0,-0.0
502,2022-01-20,18218.28,,230.0,,78.0,,,0,0,0,0,1401005.0,5.0,0.0
503,2022-01-21,17899.3,,55.0,,232.0,,,0,0,0,0,1401005.0,5.0,-0.0
504,2022-01-24,17989.04,,40.0,,154.0,,,0,0,0,0,1401005.0,5.0,-0.0
505,2022-01-25,17701.12,,2.7,,400.0,,,0,0,0,0,1401005.0,5.0,-0.0
506,2022-01-26,17674.4,264.0,0.2,219.0,387.0,0.26964766768485404,0.22368499705675393,1,1,1,1,1401005.0,6.0,-0.0
507,2022-02-07,17900.3,124.0,281.0,65.0,0.2,0.12505434805613105,0.06555268244877838,0,0,0,0,1405205.0,6.0,14.0
508,2022-02-08,17966.56,,120.0,,20.5,,,0,0,0,0,1405205.0,6.0,-0.0
509,2022-02-09,18151.76,134.0,296.0,116.0,0.1,0.1332672630341879,0.11536569038780442,0,0,0,0,1405205.0,6.0,0.0
510,2022-02-10,18338.05,,235.0,,47.0,,,0,0,0,0,1405205.0,6.0,-0.0
511,2022-02-11,18310.94,,196.0,,72.0,,,0,0,0,0,1405205.0,6.0,-0.0
512,2022-02-14,17997.67,,37.0,,213.0,,,0,0,0,0,1405205.0,6.0,-0.0
513,2022-02-15,17951.81,,9.5,,206.0,,,0,0,0,0,1405205.0,6.0,-0.0
514,2022-02-16,18231.47,172.0,55.0,125.0,0.1,0.170311581054174,0.12377295134751017,0,0,0,0,1405205.0,6.0,0.0
515,2022-02-17,18268.57,,178.0,,109.0,,,0,0,0,0,1405205.0,6.0,0.0
516,2022-02-18,18232.35,,154.0,,103.0,,,0,0,0,0,1405205.0,6.0,-0.0
517,2022-02-21,18221.49,,119.0,,78.0,,,0,0,0,0,1405205.0,6.0,-0.0
518,2022-02-22,17969.29,,4.0,,290.0,,,0,0,0,0,1405205.0,6.0,-0.0
519,2022-02-23,18055.73,189.0,0.1,117.0,124.0,0.18896621893144339,0.11697908790994115,0,0,0,0,1405205.0,6.0,-0.0
520,2022-02-24,17594.55,,24.0,,478.0,,,0,0,0,0,1405205.0,6.0,0.0
