,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數),策略每日報酬率,策略累積報酬率,每個時點最大策略累積資金(金額),Drawdown
552,2022-04-29,15229,,386.0,,39.0,,,0,0,0,1,4013595.0,3.0,-72.0,9.0,14.0,0.0,144.0,0.025761635863877252,3.0135950000000014,4013595.0,0.0
553,2022-05-03,15276,,267.0,,16.0,,,0,0,0,1,4045795.0,3.0,-23.0,9.0,14.0,-0.0,46.0,0.00802273273710985,3.045795000000002,4045795.0,0.0
554,2022-05-04,15442,196.0,291.0,161.0,0.1,0.22913421497914985,0.18821739087573022,0,1,0,1,4068055.0,3.0,-15.9,9.0,14.0,0.0,31.8,0.005502008875882147,3.068055000000001,4068055.0,0.0
555,2022-05-05,15113,,261.0,,56.0,,,0,0,0,1,3989795.0,3.0,-108.0,9.0,14.0,-0.0,-111.8,-0.019237694672269656,2.9897950000000013,4068055.0,-0.019237694672269674
556,2022-05-06,14784,,74.0,,201.0,,,0,0,0,1,3786795.0,3.0,145.0,9.0,14.0,-0.0,-290.0,-0.05087980710788398,2.7867950000000015,4068055.0,-0.06913869158602821
557,2022-05-09,14795,,4.3,,456.0,,,0,0,0,1,3429795.0,3.0,255.0,9.0,14.0,-0.0,-510.0,-0.09427497395554818,2.4297950000000013,4068055.0,-0.1568956171929829
558,2022-05-10,14764,,1.4,,435.0,,,0,0,0,1,3459195.0,3.0,-21.0,9.0,14.0,-0.0,42.0,0.008571940888595364,2.459195000000001,4068055.0,-0.14966857626064545
559,2022-05-11,14387,193.0,0.2,184.0,473.0,0.24217231106726528,0.230879301742885,0,1,0,1,3405995.0,3.0,38.0,9.0,14.0,-0.0,-76.0,-0.015379300675446128,2.405995000000001,4068055.0,-0.1627460789001132
560,2022-05-12,14606,,46.5,,418.0,,,0,0,0,1,3482995.0,3.0,231.0,9.0,14.0,0.0,110.0,0.0226071970158499,2.4829950000000007,4068055.0,-0.14381811455351512
561,2022-05-13,14679,,71.0,,222.0,,,0,0,0,1,3757395.0,3.0,-196.0,9.0,14.0,0.0,392.0,0.0787827717237608,2.757395000000001,4068055.0,-0.07636573251836566
562,2022-05-16,14832,,64.0,,141.0,,,0,0,0,1,3870795.0,3.0,-81.0,9.0,14.0,-0.0,162.0,0.030180484085383652,2.870795000000001,4068055.0,-0.04849000320792123
